,0
0,1478180
1,1471777
2,1478210
3,1495966
4,1471814
5,1471780
6,1471780
7,1471780
8,1495483
9,1495541
10,1471780
11,1472023
12,1471780
13,1471780
14,1471772
15,1495738
16,1490360
17,1471786
18,1485163
19,1482169
20,1471780
21,1471786
22,1490631
23,1471780
24,1471785
25,1471807
26,1471764
27,1471780
28,1471765
29,1495669
30,1471778
31,1471780
32,1485059
33,1490311
34,1490121
35,1471785
36,1489960
37,1490315
38,1495626
39,1471780
40,1471764
41,1486610
42,1495745
43,1471780
44,1485097
45,1483681
46,1471775
47,1471775
48,1471780
49,1495669
50,1495607
51,1471780
52,1471775
53,1495738
54,1490561
55,1495624
56,1478129
57,1490312
58,1486559
59,1482261
60,1471779
61,1471775
62,1482584
63,1495539
64,1495561
65,1495675
66,1484901
67,1489210
68,1471777
69,1485050
70,1471780
71,1471786
72,1471780
73,1489931
74,1487900
75,1471814
76,1495588
77,1495738
78,1495482
79,1478477
80,1471780
81,1471764
82,1471780
83,1471780
84,1471785
85,1471780
86,1495958
87,1490615
88,1471780
89,1486627
90,1495886
91,1495799
92,1495710
93,1495744
94,1471764
95,1478205
96,1495494
97,1495965
98,1471780
99,1471786
100,1495755
101,1495691
102,1490561
103,1478929
104,1471775
105,1496016
106,1486561
107,1485776
108,1495494
109,1485785
110,1471764
111,1471775
112,1490311
113,1471775
114,1471820
115,1471777
116,1490639
117,1471780
118,1495915
119,1471786
120,1471780
121,1486658
122,1471764
123,1471765
124,1485803
125,1471779
126,1471780
127,1471769
128,1495495
129,1486594
130,1471780
131,1471772
132,1472013
133,1471780
134,1495726
135,1471778
136,1483322
137,1490343
138,1471780
139,1495778
140,1495921
141,1489264
142,1471779
143,1471772
144,1490312
145,1471786
146,1471772
147,1482224
148,1471778
149,1495827
150,1471872
151,1496016
152,1496016
153,1471775
154,1471786
155,1471780
156,1471775
157,1471775
158,1477866
159,1471764
160,1471780
161,1486170
162,1471780
163,1471765
164,1478151
165,1495968
166,1471793
167,1495954
